Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1070000000.0,354,20,32,40,00,00,05,A8,80,Benign
1070000000.001016,5E1,89,1F,A0,07,0A,00,CC,80,Benign
1070000000.001017,28B,00,00,00,00,00,00,00,00,Benign
1070000000.001018,0A7,00,51,2C,25,A1,2D,70,A0,Benign
1070000000.001019,03D,00,01,C3,00,00,00,00,00,Benign
1070000000.004241,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.005259,00E,20,55,96,02,08,09,6F,F6,Benign
1070000000.006298,193,00,08,08,03,E8,08,00,00,Benign
1070000000.006299,20E,4E,20,03,A4,99,BF,EF,F7,Benign
1070000000.0063,522,DF,7F,D0,00,7F,80,00,1C,Benign
1070000000.007304,366,80,5D,C8,02,01,47,CE,38,Benign
1070000000.007305,580,00,00,00,05,78,07,ED,20,Benign
1070000000.007306,434,00,77,80,AA,CB,38,AB,C0,Benign
1070000000.007307,4FD,11,3D,0A,5A,51,0B,CA,08,Benign
1070000000.008326,69E,04,40,04,7D,1F,C0,15,42,Benign
1070000000.008327,125,90,00,40,9F,40,3F,71,60,Benign
1070000000.008328,6E0,08,05,07,F6,07,FC,07,FA,Benign
1070000000.008329,153,00,00,00,00,00,0C,00,0A,Benign
1070000000.009324,662,4C,80,00,00,40,00,00,00,Benign
1070000000.009326,19C,04,9C,20,0B,C2,00,28,20,Benign
1070000000.009327,0D0,12,58,04,62,BC,09,35,00,Benign
1070000000.009328,033,17,E4,F1,76,DC,85,C7,D0,Benign
1070000000.010346,274,58,F2,02,FA,10,7C,AD,BF,Benign
1070000000.010347,0C0,60,00,00,00,00,00,00,00,Benign
1070000000.010348,498,84,00,20,00,B8,82,4D,85,Benign
1070000000.010349,2E1,00,00,00,00,00,00,00,04,Benign
1070000000.01035,354,20,32,40,00,00,05,99,80,Benign
1070000000.011375,5E1,89,1F,A0,07,0A,00,CC,80,Benign
1070000000.011376,162,2F,A8,03,24,B0,12,57,CD,Benign
1070000000.011377,0A7,00,51,2C,25,A1,2D,70,A0,Benign
1070000000.011378,3C1,7B,55,1F,BA,D5,10,A9,2E,Benign
1070000000.012386,464,00,02,40,00,00,90,1A,54,Benign
1070000000.012387,230,FF,00,00,02,D4,00,00,00,Benign
1070000000.014578,00E,20,55,96,02,08,09,70,04,Benign
1070000000.015758,107,00,00,00,00,00,00,00,00,Benign
1070000000.016821,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.016822,6E0,08,09,07,F7,07,FB,07,F8,Benign
1070000000.016823,0BA,06,A8,15,C4,10,00,00,9C,Benign
1070000000.016824,297,11,00,00,20,00,02,51,10,Benign
1070000000.017878,51B,28,B1,81,B1,89,C7,F8,C1,Benign
1070000000.017879,32D,00,00,04,20,AC,01,00,20,Benign
1070000000.01788,125,90,00,40,9F,40,3F,53,60,Benign
1070000000.018895,295,00,00,00,00,00,00,18,40,Benign
1070000000.018897,0D0,1A,58,04,62,BB,09,35,00,Benign
1070000000.018898,033,17,E4,E9,76,DC,C5,C7,D0,Benign
1070000000.019895,577,00,00,08,00,00,00,01,44,Benign
1070000000.020919,354,20,32,40,00,00,05,99,80,Benign
1070000000.020921,5E1,89,1F,C0,07,0A,00,CC,80,Benign
1070000000.020922,28B,00,00,00,00,00,00,00,00,Benign
1070000000.020923,0A7,00,51,2A,A5,A1,2D,70,A0,Benign
1070000000.021941,1CA,3F,F9,FF,80,00,00,0C,48,Benign
1070000000.024361,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.025392,00E,20,55,96,02,08,09,6F,F0,Benign
1070000000.026331,193,00,08,08,03,E8,08,00,00,Benign
1070000000.026333,20E,4E,1F,FF,A4,9B,3F,CF,FF,Benign
1070000000.026334,2C1,01,F3,4F,C7,C9,9F,78,86,Benign
1070000000.027349,522,DF,7F,D0,00,7F,08,00,1C,Benign
1070000000.02735,366,80,9D,C8,02,01,47,CE,38,Benign
1070000000.027351,580,00,00,00,05,70,87,ED,20,Benign
1070000000.027352,434,00,88,E0,AB,5B,B9,1C,50,Benign
1070000000.028391,69E,04,40,04,7D,1F,C0,15,42,Benign
1070000000.028392,125,90,00,40,9F,40,3F,35,60,Benign
1070000000.028392,6E0,08,01,07,FD,07,FD,07,FA,Benign
1070000000.028393,153,00,00,00,00,00,0C,00,0A,Benign
1070000000.029365,662,4C,80,00,00,40,00,00,00,Benign
1070000000.029366,19C,08,98,20,0B,C2,00,28,20,Benign
1070000000.029367,0D0,22,58,04,64,BA,09,35,00,Benign
1070000000.029368,033,17,E4,E1,7F,6D,05,C7,D0,Benign
1070000000.030448,274,58,F2,04,F8,10,7C,AD,BF,Benign
1070000000.030449,0C0,60,00,00,00,00,00,00,00,Benign
1070000000.03045,498,84,00,20,00,B6,82,4D,C6,Benign
1070000000.030451,2E1,00,00,00,00,00,00,00,04,Benign
1070000000.030452,354,20,32,40,00,00,05,92,00,Benign
1070000000.031406,5E1,89,1F,C0,07,0A,00,CC,80,Benign
1070000000.031407,162,2F,A8,03,24,B0,12,57,CD,Benign
1070000000.031408,0A7,00,51,2B,25,91,2D,70,A0,Benign
1070000000.031409,2A3,10,00,02,45,22,80,3C,0C,Benign
1070000000.032404,419,0A,9B,46,4D,04,5F,C2,6F,Benign
1070000000.032405,230,FE,00,00,02,D4,00,02,00,Benign
1070000000.034659,00E,20,55,96,02,08,09,70,16,Benign
1070000000.035791,107,00,00,00,00,00,00,00,00,Benign
1070000000.036823,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.036824,3C1,7B,55,1F,BA,94,D1,29,2E,Benign
1070000000.036825,6E0,08,08,07,F5,07,FA,07,FA,Benign
1070000000.037878,125,90,00,40,9F,40,3F,17,60,Benign
1070000000.037879,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.038851,0D0,2A,58,04,64,B8,09,36,00,Benign
1070000000.038852,033,17,E4,D9,82,FD,45,C7,D0,Benign
1070000000.040071,354,20,32,40,00,00,05,92,00,Benign
1070000000.04111,5E1,89,1F,C0,07,0A,00,C8,80,Benign
1070000000.041111,28B,00,00,00,00,00,00,00,00,Benign
1070000000.041112,6FC,00,00,07,00,F2,C0,48,00,Benign
1070000000.041113,0A7,00,51,2A,25,91,2D,70,A0,Benign
1070000000.042122,239,00,00,00,5D,00,00,2B,C0,Benign
1070000000.042123,03C,00,00,04,00,37,00,00,00,Benign
1070000000.042124,207,04,04,60,48,2A,DE,D5,18,Benign
1070000000.042125,4C9,01,F8,95,82,0D,02,F6,4B,Benign
1070000000.043149,1D6,02,0F,82,80,30,24,05,80,Benign
1070000000.044341,0D7,00,00,02,00,80,00,00,00,Benign
1070000000.045335,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.045343,00E,20,55,96,02,08,09,70,0A,Benign
1070000000.046364,193,00,08,08,03,E8,08,00,00,Benign
1070000000.046365,20E,4E,20,03,A4,9C,3F,8F,F7,Benign
1070000000.047375,522,DF,7F,D0,00,7E,90,00,1C,Benign
1070000000.047378,366,80,5D,C8,02,01,47,CE,38,Benign
1070000000.047379,580,00,00,00,05,69,07,ED,20,Benign
1070000000.04738,434,00,A8,E0,AB,DC,39,AC,C0,Benign
1070000000.047381,69E,04,40,04,7D,1F,C0,15,42,Benign
1070000000.048414,125,90,00,40,9F,40,3E,F9,60,Benign
1070000000.048415,6E0,07,F9,07,F6,07,FA,07,FF,Benign
1070000000.048416,2B4,14,EA,90,00,00,00,58,00,Benign
1070000000.048417,153,00,00,00,00,00,0C,00,0A,Benign
1070000000.0494,295,00,00,00,00,00,00,18,40,Benign
1070000000.049402,662,4C,80,00,00,40,00,00,00,Benign
1070000000.049403,19C,0C,94,20,0B,C2,00,28,20,Benign
1070000000.049403,0D0,32,58,04,66,B7,09,36,00,Benign
1070000000.050459,033,17,DC,D1,82,FD,85,C7,D0,Benign
1070000000.050461,274,58,F2,06,F6,10,7C,AD,BF,Benign
1070000000.050462,0C0,60,00,00,00,00,00,00,00,Benign
1070000000.050463,2E1,00,00,00,00,00,00,00,04,Benign
1070000000.050464,354,20,32,40,00,00,05,83,00,Benign
1070000000.051426,5E1,89,1F,C0,07,0A,00,C4,80,Benign
1070000000.051428,162,2F,A8,03,24,B0,12,57,CD,Benign
1070000000.051429,0A7,00,51,2A,A5,A1,2D,70,A0,Benign
1070000000.05143,497,00,00,00,00,00,00,00,00,Benign
1070000000.052502,498,84,00,20,00,B5,82,4D,C7,Benign
1070000000.052504,230,FD,00,00,02,D4,00,04,00,Benign
1070000000.053471,26E,01,06,40,82,89,16,0A,04,Benign
1070000000.054719,00E,20,55,96,02,08,09,70,10,Benign
1070000000.055702,2E2,18,08,0D,40,40,00,01,18,Benign
1070000000.055703,345,05,02,02,C2,3C,77,40,81,Benign
1070000000.055704,430,00,4C,44,8C,C2,80,11,A0,Benign
1070000000.055705,130,00,01,70,00,00,00,00,00,Benign
1070000000.056733,107,00,00,00,00,00,00,00,00,Benign
1070000000.056734,FFF,00,00,00,00,00,00,00,00,Benign
1070000000.056735,6E0,08,06,07,F2,07,FA,07,FE,Benign
1070000000.056736,0BA,06,A8,15,C4,10,00,00,9C,Benign
1070000000.057733,4FD,11,38,0A,59,4B,0A,CA,08,Benign
1070000000.057735,125,90,00,40,9F,40,3E,DB,60,Benign
1070000000.058743,0D0,3A,58,04,66,B6,09,36,00,Benign
