Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1050000000.0,0C0,20,00,00,00,00,00,00,00,Benign
1050000000.000001,FFF,00,00,00,00,00,00,00,00,Benign
1050000000.00103,498,87,FF,BF,FC,27,81,30,CE,Benign
1050000000.001032,207,04,04,60,48,2B,1E,D5,18,Benign
1050000000.001033,4C9,01,F9,15,82,0D,03,F6,4B,Benign
1050000000.001033,1D6,02,8F,C2,80,34,74,05,90,Benign
1050000000.002043,230,F6,00,00,02,EC,00,12,00,Benign
1050000000.002045,2E1,00,00,00,00,00,00,00,04,Benign
1050000000.003044,354,1F,E4,C0,00,00,07,42,80,Benign
1050000000.003046,5E1,89,3F,E0,0B,0A,00,A4,80,Benign
1050000000.003047,162,00,08,02,93,EA,11,F4,CE,Benign
1050000000.003048,0A7,00,10,FA,64,E1,28,20,A0,Benign
1050000000.004069,2A3,00,00,00,84,28,80,3C,10,Benign
1050000000.005097,125,90,00,40,DF,3F,7F,77,60,Benign
1050000000.006094,6E0,04,21,04,12,04,20,04,21,Benign
1050000000.006095,00E,20,52,D6,02,08,09,76,86,Benign
1050000000.007036,FFF,00,00,00,00,00,00,00,00,Benign
1050000000.007038,107,00,00,00,00,00,00,00,00,Benign
1050000000.007039,FFF,00,00,00,00,00,00,00,00,Benign
1050000000.008117,0D0,2A,7B,0C,60,31,04,C2,00,Benign
1050000000.008119,033,00,06,98,00,0D,42,47,D0,Benign
1050000000.01196,354,1F,E4,C0,00,00,07,42,80,Benign
1050000000.012993,5E1,89,3F,E0,0B,0A,00,A0,80,Benign
1050000000.012995,28B,00,00,00,00,00,00,00,00,Benign
1050000000.012996,6FC,00,00,07,67,F2,B2,B8,00,Benign
1050000000.012997,0A7,00,10,F9,E4,D1,28,20,A0,Benign
1050000000.013961,239,00,00,00,48,C0,00,45,E0,Benign
1050000000.013962,0D7,00,00,02,00,80,00,00,00,Benign
1050000000.01497,69E,04,40,04,7F,1F,C0,15,42,Benign
1050000000.014972,125,90,00,40,DF,3F,7F,59,60,Benign
1050000000.015973,00E,20,52,D6,02,08,09,76,7A,Benign
1050000000.015974,193,00,08,08,03,E8,08,00,00,Benign
1050000000.015975,20E,4E,20,03,A2,5D,BF,CF,F7,Benign
1050000000.017029,3C1,7B,55,1F,BA,CB,D9,E9,2E,Benign
1050000000.017031,522,DF,7F,D0,00,7A,D0,00,1C,Benign
1050000000.017032,366,80,1D,C8,02,01,47,CE,38,Benign
1050000000.017033,580,00,00,00,03,AD,08,00,00,Benign
1050000000.01803,434,03,AA,A0,A4,A5,C1,B8,C0,Benign
1050000000.018032,6E0,04,21,04,14,04,21,04,1F,Benign
1050000000.018033,153,00,00,00,00,00,0C,00,0A,Benign
1050000000.018033,295,00,00,00,00,00,00,08,40,Benign
1050000000.019071,662,4F,60,00,00,40,00,00,00,Benign
1050000000.019075,19C,0C,A2,20,0A,02,00,29,10,Benign
1050000000.019077,0D0,32,7B,0C,60,30,04,C2,00,Benign
1050000000.019078,033,00,06,90,00,0D,82,47,D0,Benign
1050000000.019079,274,00,F2,06,F8,10,7C,85,D3,Benign
1050000000.020073,0C0,20,00,00,00,00,00,00,00,Benign
1050000000.020075,66C,00,80,10,00,20,00,00,20,Benign
1050000000.020076,FFF,00,00,00,00,00,00,00,00,Benign
