Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1020000000.000000,0D0,3A,4E,04,64,41,02,B2,00,Benign
1020000000.001013,033,12,3F,19,25,6D,C1,27,D0,Benign
1020000000.001014,00E,20,54,16,02,08,09,73,80,Benign
1020000000.002047,193,00,08,08,03,E8,08,00,00,Benign
1020000000.002048,107,00,00,00,00,00,00,00,00,Benign
1020000000.002049,FFF,00,00,00,00,00,00,00,00,Benign
1020000000.003068,20E,4E,20,07,A1,58,BF,AF,FF,Benign
1020000000.003069,522,DF,7F,D0,00,78,78,00,1C,Benign
1020000000.003070,366,80,5D,C8,02,01,47,CE,38,Benign
1020000000.003071,580,00,00,00,05,6F,87,FC,40,Benign
1020000000.004108,434,01,46,80,A1,32,6F,54,70,Benign
1020000000.004109,6E0,02,57,02,54,02,56,02,55,Benign
1020000000.004110,498,84,00,20,00,3B,80,AC,8D,Benign
1020000000.004111,125,90,00,40,DF,40,BE,3F,60,Benign
1020000000.005116,32D,00,00,04,20,AC,01,00,20,Benign
1020000000.005117,4FD,11,44,0A,53,5B,0D,4A,08,Benign
1020000000.005132,230,F0,00,00,02,D4,00,1E,00,Benign
1020000000.006097,2E1,00,00,00,00,00,00,00,04,Benign
1020000000.006098,354,20,0E,40,00,00,01,F4,00,Benign
1020000000.006099,5E1,89,38,60,07,0A,00,B8,80,Benign
1020000000.007105,162,24,48,02,94,40,12,1F,C9,Benign
1020000000.007106,0A7,00,51,11,A5,31,2D,90,A0,Benign
1020000000.009717,FFF,00,00,00,00,00,00,00,00,Benign
1020000000.010722,153,00,00,00,00,00,0C,00,0A,Benign
1020000000.010737,295,00,00,00,00,00,00,18,40,Benign
1020000000.010738,00E,20,54,16,02,08,09,73,86,Benign
1020000000.010739,662,4C,20,00,00,40,00,00,00,Benign
1020000000.011743,19C,10,A0,20,09,C2,00,28,40,Benign
1020000000.011744,0D0,42,4E,04,66,41,02,B1,00,Benign
1020000000.011745,033,12,2F,11,25,6E,01,27,D0,Benign
1020000000.011759,274,58,F2,28,F4,50,7C,AD,F9,Benign
1020000000.012785,6E0,02,57,02,54,02,57,02,57,Benign
1020000000.012787,0C0,60,00,00,00,00,00,00,00,Benign
1020000000.013838,69E,04,40,04,7D,1F,C0,15,42,Benign
1020000000.014856,125,90,00,40,DF,40,A0,01,60,Benign
1020000000.014857,585,00,40,00,00,00,02,00,18,Benign
1020000000.015855,354,20,0E,40,00,00,01,EC,80,Benign
1020000000.016878,5E1,89,38,60,07,0A,00,B4,80,Benign
1020000000.016879,28B,00,00,00,00,00,00,00,00,Benign
1020000000.016880,0A7,00,51,11,A5,41,2D,90,A0,Benign
1020000000.016881,1CA,3F,F9,FF,80,00,00,0C,38,Benign
1020000000.019552,3C1,7B,55,1F,BC,79,6A,E9,2E,Benign
