Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1100000000.0,033,00,07,80,00,0F,00,07,D0,Benign
1100000000.000001,162,00,08,00,03,EA,11,F4,CE,Benign
1100000000.000002,0A7,20,10,FA,24,D1,25,C0,A0,Benign
1100000000.000997,32D,00,00,04,24,CC,01,00,00,Benign
1100000000.002018,576,7F,F8,00,00,3F,FC,1F,C0,Benign
1100000000.005084,193,00,08,08,03,E6,E8,00,00,Benign
1100000000.006082,20E,4E,20,07,A0,00,3F,AF,FF,Benign
1100000000.006083,522,DF,7F,D0,8E,6E,30,4E,DC,Benign
1100000000.006084,366,7F,DD,C8,02,01,47,CE,78,Benign
1100000000.006085,580,00,00,00,03,CB,08,00,00,Benign
1100000000.007069,434,03,AA,A0,A2,F2,F3,03,00,Benign
1100000000.00707,6E0,00,00,00,00,00,00,00,00,Benign
1100000000.007071,498,87,FF,BF,FC,F1,80,00,0B,Benign
1100000000.007072,230,DC,00,08,E2,D4,00,0C,00,Benign
1100000000.00809,153,00,00,00,04,00,0C,00,04,Benign
1100000000.008091,354,1F,FF,40,00,00,03,F2,80,Benign
1100000000.009113,00E,20,52,96,02,08,09,75,90,Benign
1100000000.009114,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1100000000.009115,69E,04,40,04,7E,1F,C0,15,02,Benign
1100000000.009116,125,90,00,3F,5F,3A,E2,F1,60,Benign
1100000000.010133,295,00,00,00,00,00,00,08,40,Benign
1100000000.010134,662,4C,20,00,00,40,00,00,00,Benign
1100000000.010135,28B,00,00,00,00,00,00,00,00,Benign
1100000000.010136,19C,1A,08,20,1B,82,00,27,20,Benign
1100000000.011135,0D0,6A,61,0C,60,EF,00,00,00,Benign
1100000000.011136,033,00,07,78,00,0F,40,07,D0,Benign
1100000000.011138,274,00,F2,0D,F1,10,7C,86,B9,Benign
1100000000.011139,0C0,20,00,00,00,00,00,00,00,Benign
1100000000.012188,0A7,20,10,FA,24,D1,25,C0,A0,Benign
1100000000.012189,03D,00,00,2A,80,00,00,00,00,Benign
1100000000.01219,FFF,00,00,00,00,00,00,00,00,Benign
1100000000.013211,4CB,80,00,00,00,00,00,00,00,Benign
1100000000.013212,280,18,E0,02,70,00,00,00,00,Benign
1100000000.013213,3C1,7B,55,1F,BC,30,F3,A9,2E,Benign
1100000000.013228,03C,00,00,04,00,31,00,00,00,Benign
