Time,Id,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Byte8,Label
1200000000.000000,69E,04,40,04,7E,1F,C0,15,42,Benign
1200000000.000983,125,90,00,2D,DF,20,38,5D,60,Benign
1200000000.000984,6E0,00,00,00,00,00,00,00,00,Benign
1200000000.000985,107,00,00,00,00,00,00,00,00,Benign
1200000000.002008,FFF,00,00,00,00,00,00,00,00,Benign
1200000000.002010,0BA,06,A8,11,C4,10,00,08,62,Benign
1200000000.002011,273,00,00,00,08,00,00,00,00,Benign
1200000000.002012,1C4,00,00,02,00,01,80,00,00,Benign
1200000000.003028,2A4,36,DC,00,1C,04,08,98,D0,Benign
1200000000.003029,FFF,00,00,00,00,00,00,00,00,Benign
1200000000.003030,00E,20,53,16,02,08,09,75,56,Benign
1200000000.003031,371,01,06,00,00,00,00,08,80,Benign
1200000000.003988,67D,00,18,60,02,08,00,02,20,Benign
1200000000.003989,51B,28,1A,32,09,B2,81,80,C1,Benign
1200000000.003990,32D,00,00,04,20,A8,01,00,20,Benign
1200000000.003991,0CC,43,41,1F,B2,38,AF,62,2E,Benign
1200000000.005064,FFF,00,00,00,00,00,00,00,00,Benign
1200000000.005066,3C1,7B,55,1F,BB,91,13,E9,2E,Benign
1200000000.005067,295,00,00,00,00,00,00,00,40,Benign
1200000000.006046,0D0,0A,71,04,60,FB,00,00,00,Benign
1200000000.006047,2E1,00,00,00,00,00,00,00,04,Benign
1200000000.006048,354,1F,FF,40,00,00,04,18,00,Benign
1200000000.006049,5E1,89,3F,E0,0B,0A,00,00,80,Benign
1200000000.007041,033,00,07,D8,00,0C,40,07,D0,Benign
1200000000.007045,162,00,08,00,03,EA,11,F4,CE,Benign
1200000000.007046,0A7,20,10,FA,24,F1,2B,60,A0,Benign
1200000000.008042,66C,00,80,10,00,18,00,00,20,Benign
1200000000.009935,125,90,00,2D,DF,20,38,3F,60,Benign
1200000000.010956,193,00,08,08,03,E4,98,00,00,Benign
1200000000.010957,20E,4E,20,03,A0,00,3F,4F,FF,Benign
1200000000.010958,522,DF,7F,D1,EF,0C,30,F0,DC,Benign
1200000000.010959,366,7F,DD,C8,02,01,47,CE,78,Benign
1200000000.011956,580,00,00,00,03,CB,08,00,00,Benign
1200000000.011957,434,03,2A,A0,AA,DB,1B,DC,E0,Benign
1200000000.011958,6E0,00,00,00,00,00,00,00,00,Benign
1200000000.011959,498,84,00,20,00,F1,80,00,0B,Benign
1200000000.013016,230,18,00,1E,F2,9C,00,0C,00,Benign
